Month,Hoyoverse Games,Non-Hoyoverse Games,car/transport 汽车/交通费用,leisure events,study,music,drinks personal,food personal,necessary items/fees 生活刚需费用,other personal items/fees,income,reimbursement from dad 妈咪爹地给的money,savings: transferred to savings acc,out of savings: to chequing,Covered balance,Personal balance,Savings
2023-07,-631.78,-34.31,-280.0,-59.58,0.0,0,-24.35,-31.22,-55.34,-25.05,5201.4,3000.0,-4000.0,0,2664.66,395.1099999999997,4000.0
2023-08,-656.74,0.0,-212.11,-251.5,0.0,0,-104.57,-224.48,-177.62,-335.24,2948.92,0.0,0.0,0,2274.93,1771.5,4000.0
2023-09,-163.93,0.0,-512.25,-14.66,-21.22,0,-16.9,-166.8,-272.93,-55.88,1109.06,90.2,0.0,0,1558.7299999999998,2462.390000000001,4000.0
2023-10,0,0,-80.0,-27.3,-15.74,0,-12.4,-4.19,-4.46,0,193.0,0,0,0,1458.5299999999997,2611.500000000001,4000.0
